fen,side,wdl,dtz
1k6/8/8/2B5/2B5/8/8/1K6 w - - 0 1,w,2,20
8/1k6/8/B7/8/8/2B5/2K5 w - - 0 1,w,2,24
8/8/4B3/2B5/8/8/4k3/K7 w - - 0 1,w,2,24
8/8/8/4k1B1/8/8/8/K4B2 w - - 0 1,w,2,34
5k2/8/8/8/8/1B6/8/1K4B1 w - - 0 1,w,2,26
8/8/8/8/8/3k4/7B/1K5B w - - 0 1,w,2,26
8/4B3/8/5k2/8/8/8/2K5 w - - 0 1,w,0,0
8/8/8/7B/8/8/7B/K6k w - - 0 1,w,2,24
8/8/1B6/1B6/4k3/8/8/K7 w - - 0 1,w,2,32
8/8/1B6/8/4k3/8/8/2K5 w - - 0 1,w,0,0
8/7B/8/8/8/8/4k3/K3B3 w - - 0 1,w,2,32
8/3B4/8/2B5/8/8/8/1K1k4 w - - 0 1,w,2,18
2B5/8/5B2/8/4k3/8/8/K7 w - - 0 1,w,2,32
8/8/1k6/8/8/8/7B/1K5B w - - 0 1,w,2,26
7k/8/8/8/8/4B3/8/K4B2 w - - 0 1,w,2,28
5k2/7B/8/8/8/8/5B2/K7 w - - 0 1,w,2,26
8/8/8/8/3k4/8/8/K3B2B w - - 0 1,w,2,30
4B2B/8/8/8/8/8/3k4/1K6 w - - 0 1,w,2,30
B7/8/8/8/8/6B1/8/K1k5 w - - 0 1,w,2,28
8/8/8/4B2k/4B3/8/8/1K6 w - - 0 1,w,2,24
8/8/8/8/1k6/8/6B1/BK6 w - - 0 1,w,2,28
8/k5BB/8/8/8/8/8/2K5 w - - 0 1,w,2,30
8/4B3/8/8/8/8/5k2/K6B w - - 0 1,w,2,28
2k5/8/5B2/8/8/3B4/8/K7 w - - 0 1,w,2,28
8/6k1/8/5B2/8/8/8/K1B5 w - - 0 1,w,2,24
8/8/5k2/8/B7/8/8/K1B5 w - - 0 1,w,2,32
5B2/8/4k3/8/B7/8/8/2K5 w - - 0 1,w,2,32
8/8/8/8/4B3/1k6/5B2/1K6 w - - 0 1,w,2,18
B7/7k/8/8/8/8/8/K3B3 w - - 0 1,w,2,30
3k4/5B2/8/4B3/8/8/8/K7 w - - 0 1,w,2,28
8/8/8/8/B6B/3k4/8/K7 w - - 0 1,w,2,34
8/8/3B4/8/8/2k5/8/1K6 w - - 0 1,w,0,0
2B5/8/8/B7/8/8/4k3/K7 w - - 0 1,w,2,32
4B3/8/8/8/8/8/8/K1k3B1 w - - 0 1,w,2,20
8/8/8/8/1B6/5B1k/8/1K6 w - - 0 1,w,2,20
8/8/7k/8/8/8/2B5/2K5 w - - 0 1,w,0,0
2B5/8/8/k7/8/6B1/8/2K5 w - - 0 1,w,2,24
8/8/8/8/8/6Bk/8/1K1B4 w - - 0 1,w,2,20
8/8/1k6/7B/1B6/8/8/K7 w - - 0 1,w,2,24
8/8/8/8/1B6/8/8/1K1k3B w - - 0 1,w,2,1
k7/8/8/8/3B4/3B4/8/1K6 w - - 0 1,w,2,18
8/8/7k/8/8/8/B7/K3B3 w - - 0 1,w,2,30
8/8/5B2/k7/8/7B/8/1K6 w - - 0 1,w,2,28
4B3/6B1/8/8/8/3k4/8/2K5 w - - 0 1,w,2,28
4B3/2k5/8/8/8/8/5B2/K7 w - - 0 1,w,2,22
3k4/1B6/8/8/8/B7/8/1K6 w - - 0 1,w,2,26
6k1/8/8/1B6/8/B7/8/1K6 w - - 0 1,w,2,24
8/8/2B5/5k2/8/8/7B/2K5 w - - 0 1,w,2,28
2B5/8/8/8/8/8/7B/K6k w - - 0 1,w,2,24
k7/8/7B/8/8/8/8/1K3B2 w - - 0 1,w,2,24
8/8/8/5k1B/8/2B5/8/K7 w - - 0 1,w,2,32
8/8/8/1k6/8/B7/8/1K5B w - - 0 1,w,2,26
8/8/8/k5B1/8/8/2B5/K7 w - - 0 1,w,2,26
2B5/8/8/8/8/8/6kB/2K5 w - - 0 1,w,2,28
8/4B3/B7/8/8/1k6/8/1K6 w - - 0 1,w,2,18
